2025-06-01 07:00:00,85.5
2025-06-02 01:00:00,29.7
2025-06-03 20:00:00,93.6
2025-06-04 06:00:00,86.6
2025-06-05 03:00:00,86.7
2025-06-06 23:00:00,3.9
2025-06-07 09:00:00,26.4
2025-06-08 13:00:00,28.4
2025-06-10 07:00:00,12.2
2025-06-12 08:00:00,37.7
2025-06-13 02:00:00,44.3
2025-06-14 10:00:00,41.3
2025-06-15 07:00:00,50.6
2025-06-16 08:00:00,38.0
2025-06-18 04:00:00,29.5
2025-06-19 10:00:00,74.1
2025-06-20 03:00:00,14.7
2025-06-21 05:00:00,90.3
2025-06-22 02:00:00,76.0
2025-06-23 10:00:00,64.5
2025-06-24 08:00:00,83.1
2025-06-25 19:00:00,80.3
2025-06-26 08:00:00,70.7
2025-06-27 21:00:00,97.8
2025-06-28 14:00:00,31.7
2025-06-29 18:00:00,93.0
2025-06-30 06:00:00,97.9
